,y,x
256180896,41.8082693,-87.69543
256180897,41.8080944,-87.7075533
256180993,41.8213226,-87.6924869
256180994,41.8228773,-87.6899494
261092783,41.829744,-87.7046132
261092785,41.8308705,-87.7005223
261092787,41.8316931,-87.6979371
261107943,41.8287722,-87.7045872
261107945,41.8298285,-87.7016546
261110959,41.8305739,-87.6993318
261110961,41.8314712,-87.6948661
261116689,41.8067309,-87.7112858
261116691,41.8056064,-87.7112538
261116692,41.804605,-87.7112188
261116699,41.8243055,-87.7117957
261116700,41.8234018,-87.7117721
261116701,41.8224984,-87.7117486
261116784,41.8153544,-87.7114213
261116785,41.8135292,-87.7113525
261116786,41.8116922,-87.7112834
261131950,41.8051462,-87.703891
261131951,41.8056788,-87.7039077
261131953,41.8068272,-87.7039436
261131955,41.8099545,-87.7040477
261131956,41.8116947,-87.7041102
261131958,41.8117531,-87.7041127
261131959,41.8135884,-87.7041922
261131962,41.8154283,-87.7042685
261131963,41.8163,-87.7042981
261131964,41.8172058,-87.7043288
261131967,41.818095,-87.704359
261131968,41.8189978,-87.7043896
261131969,41.8199071,-87.7044216
261131980,41.8207949,-87.7044564
261131987,41.8216911,-87.7044916
261131993,41.8225989,-87.704405
261132000,41.8235094,-87.7044226
261132001,41.8244171,-87.7044402
261132002,41.8253231,-87.7044713
261132006,41.8271688,-87.7045365
261132012,41.82809,-87.704569
261135276,41.8064542,-87.6941462
261135279,41.8065494,-87.6904794
261135280,41.8065644,-87.6892723
261135281,41.8065796,-87.6880502
261135282,41.8065946,-87.6868394
261135283,41.8066249,-87.6843955
261142044,41.8301078,-87.6948182
261142045,41.8291815,-87.6947947
261142046,41.8282724,-87.6947717
261142047,41.827354,-87.6947481
261142050,41.825534,-87.6946923
261142051,41.8246156,-87.6946708
261142052,41.8237058,-87.69465
261142053,41.822793,-87.6946289
261142054,41.8218891,-87.694608
261142055,41.8210323,-87.6945881
261142056,41.8201318,-87.6945673
261142058,41.8192949,-87.694542
261142059,41.8173666,-87.6944823
261142060,41.8155536,-87.6944261
261142061,41.8137437,-87.6943688
261142062,41.8119221,-87.6943107
261142063,41.8100905,-87.6942524
261142065,41.8070521,-87.6941621
261142068,41.8055972,-87.6941234
261148326,41.8093541,-87.6844673
261148327,41.8092789,-87.6893494
261154071,41.8252819,-87.7069205
261154072,41.8252447,-87.7093829
261154073,41.8252234,-87.7106309
261154075,41.8253733,-87.7020305
261154076,41.8252991,-87.7056416
261154090,41.8256241,-87.6898127
261154091,41.8255804,-87.6922439
261162575,41.8219552,-87.6908328
261162576,41.8211387,-87.6908143
261162577,41.8196048,-87.6907741
261162578,41.8174215,-87.6908153
261162579,41.8156089,-87.690751
261162580,41.8137947,-87.6906877
261162581,41.8119816,-87.6906422
261162582,41.8101359,-87.6905873
261163820,41.8172794,-87.6994091
261163821,41.8172413,-87.7018573
261163822,41.8175159,-87.6840952
261163824,41.8175135,-87.684679
261163825,41.8174945,-87.6859456
261163826,41.8174766,-87.6871435
261163827,41.8174583,-87.6883647
261163828,41.81744,-87.6895807
261163829,41.8174033,-87.6920349
261163830,41.817385,-87.6932549
261163831,41.8173473,-87.6957199
261163832,41.8173285,-87.6969261
261163833,41.817309,-87.6981735
261163988,41.8155167,-87.6968754
261163989,41.8136949,-87.6968154
261163990,41.8118776,-87.6967706
261163991,41.8100659,-87.6967079
261164011,41.8300195,-87.6972716
261164012,41.8282311,-87.6972255
261164013,41.827307,-87.6972017
261164014,41.8245667,-87.6971117
261164015,41.8236569,-87.6970807
261164016,41.8227398,-87.69709
261164017,41.8218486,-87.697099
261164018,41.8209648,-87.6970715
261164019,41.8200654,-87.6970409
261167116,41.8181857,-87.6994448
261167118,41.8181391,-87.7018949
261169865,41.8243421,-87.7093568
261169866,41.8234376,-87.7093305
261169867,41.8225318,-87.7093042
261169909,41.8098847,-87.7086776
261170061,41.8153836,-87.7091679
261170062,41.8135582,-87.7090962
261170064,41.8117151,-87.7090241
261170347,41.8302205,-87.6887144
261170349,41.8301979,-87.6899423
261170350,41.8301529,-87.6923782
261170352,41.8300497,-87.6960556
261179908,41.8154983,-87.6980988
261179909,41.8136717,-87.698051
261179910,41.811857,-87.6979891
261179911,41.8100467,-87.697938
261179923,41.8282082,-87.6984378
261179926,41.8200308,-87.6983299
261179927,41.8183506,-87.6982641
261184337,41.8098681,-87.7097754
261184375,41.815369,-87.7102976
261184376,41.8135436,-87.7102296
261184377,41.8117036,-87.7101612
261193981,41.8229946,-87.6842279
261193986,41.8229816,-87.6848209
261193991,41.8229576,-87.6861014
261193993,41.8229328,-87.6872869
261193994,41.8228818,-87.6897349
261193998,41.8228391,-87.6921634
261193999,41.8226839,-87.699551
261194001,41.8226356,-87.7019985
261194003,41.8225655,-87.7068466
261194740,41.8154613,-87.700564
261194741,41.813642,-87.700496
261194742,41.8118157,-87.7004186
261194743,41.8100099,-87.700375
261198056,41.8153387,-87.7126357
261198057,41.8135131,-87.7126091
261198058,41.8116795,-87.7125308
261199215,41.8116822,-87.7053366
261199216,41.8099362,-87.7052587
261199259,41.8154312,-87.7054932
261201101,41.8247622,-87.6873517
261201103,41.8220195,-87.6872629
261201104,41.8210818,-87.6872382
261201105,41.8156639,-87.6870959
261201106,41.8138442,-87.6870481
261201107,41.8120374,-87.6870006
261201158,41.8074901,-87.6868546
261202670,41.8199875,-87.6995023
261202671,41.8199406,-87.7019591
261202672,41.819621,-87.6896425
261204045,41.8247389,-87.6885146
261204046,41.8247328,-87.6888225
261204048,41.8247135,-87.6897868
261204049,41.8246648,-87.692217
261204050,41.8245176,-87.6995626
261204052,41.8244687,-87.7020031
261204053,41.8243769,-87.7068962
261213370,41.8258216,-87.7069356
261213371,41.8234735,-87.7068715
261213373,41.8116634,-87.706528
261213374,41.8099182,-87.7064543
261213410,41.8154153,-87.7067236
261213411,41.8135896,-87.7066421
261213563,41.827451,-87.6898644
261213564,41.8274002,-87.6922974
261213565,41.8272602,-87.6996505
261213566,41.8272134,-87.702094
261222149,41.8210751,-87.6860468
261222150,41.8156818,-87.6858995
261222151,41.8138639,-87.6858466
261222152,41.8120585,-87.685794
261223143,41.8120751,-87.6839633
261223144,41.812054,-87.6845373
261223145,41.8120161,-87.6882179
261223146,41.8119949,-87.6894264
261223147,41.811961,-87.6918599
261223148,41.8119432,-87.6930869
261223149,41.8118984,-87.6955459
261223150,41.8118364,-87.6992013
261223151,41.8117949,-87.7016456
261223152,41.8117762,-87.7028748
261231187,41.8136085,-87.7029308
261231189,41.809973,-87.7028196
261249385,41.805647,-87.7076106
261249391,41.8055844,-87.7126642
261256913,41.8219757,-87.6897093
261256915,41.8217856,-87.6995691
261256916,41.8217362,-87.7020271
261259823,41.8155349,-87.695662
261259825,41.813716,-87.6956039
261259827,41.8100862,-87.695488
261259857,41.8282518,-87.6959947
261271623,41.8292261,-87.692351
261271624,41.8283298,-87.6923247
261271627,41.8237553,-87.6921903
261271693,41.8155903,-87.6919826
261271694,41.8137787,-87.6919232
261271695,41.8101178,-87.6918113
261272702,41.8102511,-87.6844906
261272704,41.8101688,-87.6893746
261272706,41.810098,-87.6930299
261272707,41.8100283,-87.6991562
261272708,41.8099913,-87.7016107
261272709,41.8098999,-87.7076647
261284673,41.8163403,-87.7018316
261284674,41.8166139,-87.6840733
261293039,41.8292705,-87.689916
261295797,41.8210985,-87.684772
261295799,41.8157009,-87.684632
261295801,41.8138815,-87.6845848
261295803,41.8111543,-87.684514
261295805,41.8075331,-87.684421
261297090,41.8190886,-87.6994742
261297091,41.8190402,-87.7019269
261301731,41.8185781,-87.689613
261302316,41.8067666,-87.707645
261302410,41.8153994,-87.7079463
261302411,41.8135739,-87.7078695
261308995,41.8138274,-87.6882667
261308998,41.8138064,-87.6894777
261309000,41.8137615,-87.693143
261309002,41.81366,-87.6992581
261309004,41.8136243,-87.7017141
261313928,41.8236076,-87.6995333
261313930,41.8208823,-87.6995419
261313934,41.8154798,-87.6993318
261318340,41.8157054,-87.6840513
261329716,41.8067,-87.7130257
261335643,41.8235585,-87.7019755
261335645,41.8233699,-87.7139551
261336589,41.8156455,-87.6883158
261336591,41.8156272,-87.6895293
261336593,41.8155721,-87.6931989
261336595,41.815443,-87.7017808
261339428,41.8208349,-87.7019915
261339432,41.8208763,-87.6920443
261339433,41.8210802,-87.6884624
261339434,41.821066,-87.6896835
261340477,41.8281388,-87.7021164
261349989,41.8283884,-87.6886646
261349991,41.8283688,-87.6898905
261350104,41.8264088,-87.6885762
261350118,41.8241605,-87.6897712
261354822,41.8178352,-87.6932688
261356254,41.811091,-87.6894008
347274753,41.8322867,-87.6954078
347274884,41.8292542,-87.7041858
386424574,41.8047577,-87.7075849
386448200,41.8151397,-87.7126826
418455856,41.8080449,-87.7113187
418456252,41.8081388,-87.7039847
418456769,41.8082873,-87.6941949
418457154,41.808421,-87.6844431
418457240,41.8084164,-87.6838747
418457998,41.8084006,-87.6868702
418458053,41.8083818,-87.6881016
418458131,41.8083628,-87.6893234
418458562,41.8083249,-87.6917712
418458590,41.808344,-87.6905372
418458953,41.8083062,-87.6929746
418459380,41.8070099,-87.697116
418460342,41.8082508,-87.6966561
418460432,41.8082324,-87.6978774
418460536,41.8082129,-87.6990961
418460744,41.8081932,-87.7003238
418460871,41.8081739,-87.7015307
418461003,41.8081541,-87.702764
418461297,41.8081257,-87.7051802
418461413,41.8081098,-87.706389
418461786,41.808093,-87.7076599
418461925,41.8080806,-87.7086026
418461995,41.8080661,-87.7097059
418462129,41.8080492,-87.7109888
418462352,41.8098857,-87.7111502
418462530,41.8104685,-87.7102012
418462697,41.8111107,-87.7091532
418462816,41.8117333,-87.7081371
418463071,41.812475,-87.7069266
418463163,41.8133989,-87.705419
418463389,41.8120913,-87.7075528
418463721,41.810683,-87.709851
418464569,41.8135679,-87.7051431
418465049,41.8146558,-87.7033676
418465382,41.8141305,-87.7042181
418465614,41.8154383,-87.7020907
418465903,41.8159757,-87.7012135
418466663,41.8170751,-87.6994017
418466972,41.8176257,-87.6985207
418467021,41.8180121,-87.6978901
418467152,41.8183306,-87.6973702
418467541,41.8185656,-87.6969867
418467708,41.8186793,-87.6957624
418468129,41.8207485,-87.6934239
418468475,41.8219447,-87.6914344
418468961,41.8230096,-87.6897386
418469311,41.8244602,-87.687341
418469506,41.824865,-87.6866763
418469871,41.8247725,-87.6868291
418471135,41.8200492,-87.6945654
418471596,41.8194965,-87.6929906
418472336,41.8128349,-87.7063393
537959777,41.8254932,-87.6873776
538475024,41.8260786,-87.709407
705736864,41.8268825,-87.6886244
705744054,41.832689,-87.6932454
862969860,41.8080308,-87.7123916
1895426602,41.8280847,-87.7049793
1895488628,41.8177804,-87.6920439
2203298433,41.8257379,-87.7117002
2293272240,41.8056807,-87.6843689
2293275898,41.8193435,-87.6841394
2352761093,41.8099453,-87.7046599
3200955979,41.8224694,-87.7138606
3270264066,41.8242089,-87.7139852
3903672039,41.8055802,-87.6892446
3952947160,41.809113,-87.712413
4606276639,41.8067876,-87.7063676
4606276640,41.8081093,-87.7064236
4972562861,41.8083119,-87.7137278
4972562894,41.8080135,-87.7137056
5087655868,41.8314093,-87.6952268
5087655869,41.8310518,-87.6948514
5087655873,41.8300805,-87.6948175
5197166012,41.8280005,-87.6996652
5485497436,41.8113612,-87.7087444
5485497449,41.8091036,-87.7124284
5485497464,41.8161909,-87.7008624
6823889649,41.8229581,-87.6860744
7625126088,41.8219121,-87.6946085
